geo_type,name,alternative_name,region,country,date,driving,walking,transit
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-15,166.84,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-16,182.79,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-17,205.94,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-18,206.88,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-19,228.73,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-20,214.23,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-21,191.08,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-22,177.89,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-23,183.63,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-24,201.98,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-25,209.12,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-26,250.31,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-27,162.62,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-28,171.9,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-29,172.84,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-30,172.68,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-01,182.27,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-02,203.28,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-03,218.09,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-04,158.19,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-05,172.21,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-06,162.36,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-07,161.47,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-08,172.47,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-09,175.86,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-10,169.6,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-11,142.08,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-12,151.2,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-13,140.09,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-14,151.88,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-15,173.98,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-16,174.56,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-17,185.71,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-18,155.89,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-19,138.22,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-20,158.45,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-21,157.87,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-22,162.72,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-23,157.19,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-24,177.63,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-25,145.1,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-26,138.22,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-27,150.36,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-28,161.84,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-29,206.78,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-30,249.64,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-10-31,227.27,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-01,284.46,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-02,173.46,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-03,136.08,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-04,135.61,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-05,163.35,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-06,148.33,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-07,135.25,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-08,130.71,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-09,131.65,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-10,130.08,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-11,140.41,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-12,146.82,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-13,151.98,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-14,149.79,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-15,122.63,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-16,134.36,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-17,135.09,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-18,143.33,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-19,154.01,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-20,163.61,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-21,153.81,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-22,121.95,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-23,126.28,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-24,131.44,<undefined>,<undefined>
