geo_type,name,alternative_name,region,country,date,driving,walking
city,Catania,<undefined>,Sicily Region,Italy,2021-09-05,159.36,187.94
city,Catania,<undefined>,Sicily Region,Italy,2021-09-06,171.43,216.31
city,Catania,<undefined>,Sicily Region,Italy,2021-09-07,164.48,208.38
city,Catania,<undefined>,Sicily Region,Italy,2021-09-08,167.53,207.86
city,Catania,<undefined>,Sicily Region,Italy,2021-09-09,176.69,222.34
city,Catania,<undefined>,Sicily Region,Italy,2021-09-10,175.37,220.85
city,Catania,<undefined>,Sicily Region,Italy,2021-09-11,159.61,229.23
city,Catania,<undefined>,Sicily Region,Italy,2021-09-12,163.92,185.74
city,Catania,<undefined>,Sicily Region,Italy,2021-09-13,170.56,197.02
city,Catania,<undefined>,Sicily Region,Italy,2021-09-14,176.83,211.47
city,Catania,<undefined>,Sicily Region,Italy,2021-09-15,175.14,225.69
city,Catania,<undefined>,Sicily Region,Italy,2021-09-16,168.73,222.19
city,Catania,<undefined>,Sicily Region,Italy,2021-09-17,174.11,235.74
city,Catania,<undefined>,Sicily Region,Italy,2021-09-18,178.28,248.47
city,Catania,<undefined>,Sicily Region,Italy,2021-09-19,172.22,171.22
city,Catania,<undefined>,Sicily Region,Italy,2021-09-20,168.24,194.9
city,Catania,<undefined>,Sicily Region,Italy,2021-09-21,176.44,213.63
city,Catania,<undefined>,Sicily Region,Italy,2021-09-22,173.87,211.17
city,Catania,<undefined>,Sicily Region,Italy,2021-09-23,181.29,228.18
city,Catania,<undefined>,Sicily Region,Italy,2021-09-24,183.66,262.51
city,Catania,<undefined>,Sicily Region,Italy,2021-09-25,186.51,261.73
city,Catania,<undefined>,Sicily Region,Italy,2021-09-26,185.28,197.69
city,Catania,<undefined>,Sicily Region,Italy,2021-09-27,180.35,234.77
city,Catania,<undefined>,Sicily Region,Italy,2021-09-28,173.38,222.75
city,Catania,<undefined>,Sicily Region,Italy,2021-09-29,177.99,218.28
city,Catania,<undefined>,Sicily Region,Italy,2021-09-30,178.2,224.98
city,Catania,<undefined>,Sicily Region,Italy,2021-10-01,181.46,233.51
city,Catania,<undefined>,Sicily Region,Italy,2021-10-02,182.47,263.1
city,Catania,<undefined>,Sicily Region,Italy,2021-10-03,183.5,235.67
city,Catania,<undefined>,Sicily Region,Italy,2021-10-04,170.85,251.75
city,Catania,<undefined>,Sicily Region,Italy,2021-10-05,156.7,209.49
city,Catania,<undefined>,Sicily Region,Italy,2021-10-06,162.48,226.84
city,Catania,<undefined>,Sicily Region,Italy,2021-10-07,188.03,248.47
city,Catania,<undefined>,Sicily Region,Italy,2021-10-08,181.61,250
city,Catania,<undefined>,Sicily Region,Italy,2021-10-09,189.78,270.03
city,Catania,<undefined>,Sicily Region,Italy,2021-10-10,177.66,219.4
city,Catania,<undefined>,Sicily Region,Italy,2021-10-11,172.34,227.66
city,Catania,<undefined>,Sicily Region,Italy,2021-10-12,168.97,236.34
city,Catania,<undefined>,Sicily Region,Italy,2021-10-13,169.51,220.33
city,Catania,<undefined>,Sicily Region,Italy,2021-10-14,157.49,205.47
city,Catania,<undefined>,Sicily Region,Italy,2021-10-15,184.07,239.65
city,Catania,<undefined>,Sicily Region,Italy,2021-10-16,196.18,284.18
city,Catania,<undefined>,Sicily Region,Italy,2021-10-17,165.69,179.23
city,Catania,<undefined>,Sicily Region,Italy,2021-10-18,161.14,211.58
city,Catania,<undefined>,Sicily Region,Italy,2021-10-19,161.13,216.05
city,Catania,<undefined>,Sicily Region,Italy,2021-10-20,163.56,231.27
city,Catania,<undefined>,Sicily Region,Italy,2021-10-21,159.5,220.29
city,Catania,<undefined>,Sicily Region,Italy,2021-10-22,167.32,233.8
city,Catania,<undefined>,Sicily Region,Italy,2021-10-23,180.81,280.71
city,Catania,<undefined>,Sicily Region,Italy,2021-10-24,111.99,130.31
city,Catania,<undefined>,Sicily Region,Italy,2021-10-25,122.28,119.84
